icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
a1e8be,N222DD,United States,1753811175,1753811175,10.2058,50.7655,2468.88,False,98.38,192.07,-2.28,,2552.7,4450,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
4d21ef,RYR86DV,Malta,1753811174,1753811175,7.4371,49.1814,11277.6,False,248.7,123.95,0.0,,11612.88,3465,False,0,EGKK,EKCH,London Gatwick,Copenhagen Airport,London,Copenhagen,51.1481,-0.1903,55.6181,12.6561,Ryanair,high,1509.807673897626,0
ae6a37,DUKE98,United States,1753811174,1753811174,11.9939,49.3436,800.1,False,51.97,178.87,0.0,,899.16,0033,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
ae6a35,DUSTY17,United States,1753811174,1753811175,12.0932,48.9854,396.24,False,31.95,165.07,2.6,,510.54,0033,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,1
ae34bf,ABLOOD04,United States,1753811171,1753811171,10.6474,49.3092,457.2,False,21.98,253.69,-2.6,,563.88,0033,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,1
4d21dc,KMM386A,Malta,1753811175,1753811175,11.3709,45.6624,11574.78,False,222.02,349.99,-0.33,,11971.02,6576,False,0,LIMC,EDDM,Milan Malpensa,Munich Airport,Milan,Munich,45.6306,8.7281,48.3538,11.7861,Unknown,medium,454.5200241782972,0
485a85,TFL78E,Kingdom of the Netherlands,1753811174,1753811175,10.5545,50.1678,11582.4,False,218.32,313.66,-0.33,,11887.2,1000,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
3dc640,PTO1572,Germany,1753811174,1753811174,13.2905,53.2525,2133.6,False,49.24,332.63,0.0,,2194.56,1000,False,0,EKCH,EDDM,Copenhagen Airport,Munich Airport,Copenhagen,Munich,55.6181,12.6561,48.3538,11.7861,Unknown,medium,812.0995051539496,0
4d2233,RYR69ME,Malta,1753811174,1753811175,8.1505,46.9711,10157.46,False,244.28,157.59,-16.26,,10530.84,0540,False,0,EIDW,LEMD,Dublin Airport,Madrid Barajas,Dublin,Madrid,53.4213,-6.27,40.4983,-3.5676,Ryanair,high,1465.481235068522,0
4d221f,RYR78DN,Malta,1753811175,1753811175,5.8836,46.035,11277.6,False,239.01,135.61,0.0,,11689.08,2276,False,0,EGKK,LFPG,London Gatwick,Paris Charles de Gaulle,London,Paris,51.1481,-0.1903,49.0097,2.5479,Ryanair,high,385.6430397528261,0
3986e1,AFR76TP,France,1753811174,1753811175,7.8747,51.783,10957.56,False,219.26,218.62,1.3,,11201.4,1340,False,0,LFPG,EHAM,Paris Charles de Gaulle,Amsterdam Schiphol,Paris,Amsterdam,49.0097,2.5479,52.3105,4.7683,Air France,high,441.5715720387802,0
3986e9,AFR1006,France,1753810964,1753810973,6.7913,51.304,99.06,False,66.47,232.86,-3.58,,175.26,1000,False,0,LFPO,LFPO,Paris Orly,Paris Orly,Paris,Paris,48.7233,2.3794,48.7233,2.3794,Air France,high,0.0,0
