icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
3c4dcb,DLH2CV,Germany,1753810463,1753810463,8.4636,51.3645,10972.8,False,204.52,313.37,0.0,,11239.5,1000.0,False,0,EDDF,LEMD,Frankfurt Airport,Madrid Barajas,Frankfurt,Madrid,50.0379,8.5622,40.4983,-3.5676,Lufthansa,high,1712.913849439078,0
4b41ba,HBYXE,Switzerland,1753810463,1753810463,8.1321,46.9679,1348.74,False,30.47,111.8,-2.28,,1470.66,,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,1
3c4dd0,DLH087,Germany,1753810463,1753810463,8.616,50.0655,457.2,False,69.18,249.54,-2.93,,541.02,1000.0,False,0,EDDM,LFPG,Munich Airport,Paris Charles de Gaulle,Munich,Paris,48.3538,11.7861,49.0097,2.5479,Lufthansa,high,1028.021477032484,0
3444da,VLG49TP,Spain,1753810463,1753810463,8.2214,51.451,11269.98,False,248.3,57.26,-0.33,,11551.92,1000.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
3c4dcd,DLH4MF,Germany,1753810463,1753810463,8.1853,47.9468,5341.62,False,182.18,262.37,-10.4,,5532.12,1000.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Lufthansa,high,490.8960156472752,0
3444c8,VOE9BG,Spain,1753810463,1753810463,10.4613,45.4522,7650.48,False,206.34,105.77,-5.53,,7970.52,1000.0,False,0,LIMC,LSZH,Milan Malpensa,Zurich Airport,Milan,Zurich,45.6306,8.7281,47.4647,8.5492,Unknown,medium,204.5512872959248,0
3d2711,DENAV,Germany,1753810463,1753810463,6.1731,51.6004,99.06,False,33.34,308.11,-1.95,,160.02,7000.0,False,0,EHAM,EDDF,Amsterdam Schiphol,Frankfurt Airport,Amsterdam,Frankfurt,52.3105,4.7683,50.0379,8.5622,Unknown,medium,490.8960156472752,1
407c0a,TOM6260,United Kingdom,1753810462,1753810463,10.0547,48.5183,10668.0,False,256.56,120.88,-0.33,,11003.28,4732.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
3c4dc5,DLH5AL,Germany,1753810313,1753810313,6.2395,49.6368,373.38,False,67.51,240.31,-2.6,,464.82,1000.0,False,0,EDDF,LIRF,Frankfurt Airport,Rome Fiumicino,Frankfurt,Rome,50.0379,8.5622,41.8003,12.2389,Lufthansa,high,1001.3170689170588,0
3c4dc2,DLH4CN,Germany,1753810463,1753810463,11.3258,50.1773,10751.82,False,205.33,1.44,5.2,,11026.14,6451.0,False,0,EDDF,EGLL,Frankfurt Airport,London Heathrow,Frankfurt,London,50.0379,8.5622,51.47,-0.4543,Lufthansa,high,1013.377007117223,0
407ac3,TOM7VH,United Kingdom,1753810463,1753810463,9.9486,49.5446,10668.0,False,263.56,137.21,-0.33,,10988.04,2230.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
407ac1,TOM8MT,United Kingdom,1753810463,1753810463,9.922,48.1428,11277.6,False,255.25,128.37,0.0,,11628.12,503.0,False,0,LSZH,EDDM,Zurich Airport,Munich Airport,Zurich,Munich,47.4647,8.5492,48.3538,11.7861,Unknown,medium,372.6033810834516,0
06a1eb,QTR8167,Qatar,1753810462,1753810462,9.5086,49.7861,11277.6,False,267.8,133.75,0.0,,11582.4,1157.0,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
4bb854,PGT1258,Turkey,1753810462,1753810463,12.3306,49.7905,10675.62,False,259.84,106.21,0.33,,10942.32,171.0,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
34469a,VLG8YA,Spain,1753810462,1753810463,6.507,46.1684,10363.2,False,229.53,348.36,0.0,,10751.82,1000.0,False,0,LIMC,LSZH,Milan Malpensa,Zurich Airport,Milan,Zurich,45.6306,8.7281,47.4647,8.5492,Unknown,medium,204.5512872959248,0
3e476f,DISGD,Germany,1753810463,1753810463,8.1929,52.5774,6050.28,False,141.55,191.11,-6.83,,6172.2,3511.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
4bb87a,PGT1RL,Turkey,1753810463,1753810463,9.2382,49.8126,10972.8,False,206.44,291.64,0.33,,11285.22,3231.0,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
46a5e2,SEH7EL,Greece,1753810462,1753810463,12.1539,47.9325,5516.88,False,224.82,139.64,11.7,,5684.52,4357.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
46a5e1,SEH3251,Greece,1753810463,1753810463,10.6822,48.6688,11894.82,False,250.64,135.42,0.0,,12252.96,101.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
4cc552,FPY11,Iceland,1753810463,1753810463,9.4462,54.12,11277.6,False,245.97,156.06,0.0,,11468.1,735.0,False,0,EKCH,EDDF,Copenhagen Airport,Frankfurt Airport,Copenhagen,Frankfurt,55.6181,12.6561,50.0379,8.5622,Unknown,medium,768.2182355354822,0
4bb865,PGT6DT,Turkey,1753810462,1753810463,11.2159,47.6404,9753.6,False,213.09,280.71,-0.33,,10058.4,6047.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
4bb863,PGT54MV,Turkey,1753810462,1753810463,9.3899,50.8542,9593.58,False,208.07,288.3,-4.55,,9845.04,3241.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
46b8b2,AEE3LG,Greece,1753810462,1753810462,12.7016,45.516,11277.6,False,257.36,138.73,0.0,,11650.98,564.0,False,0,EDDM,LIRF,Munich Airport,Rome Fiumicino,Munich,Rome,48.3538,11.7861,41.8003,12.2389,Unknown,medium,729.1727636842245,0
46b8b3,AEE853,Greece,1753810463,1753810463,9.2653,46.7895,7452.36,False,232.78,119.96,9.1,,7734.3,3037.0,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
47a05e,NSZ541B,Norway,1753810463,1753810463,8.5348,54.3706,10668.0,False,245.1,52.5,0.0,,10805.16,3145.0,False,0,EHAM,EKCH,Amsterdam Schiphol,Copenhagen Airport,Amsterdam,Copenhagen,52.3105,4.7683,55.6181,12.6561,Unknown,medium,949.4076421214442,0
3d24fe,DEMGK,Germany,1753810463,1753810463,7.7469,48.1717,1188.72,False,47.21,200.41,-0.33,,,,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
406a62,EXS43UN,United Kingdom,1753810462,1753810463,13.0668,45.4476,11887.2,False,254.41,136.88,0.0,,12268.2,557.0,False,0,EDDM,LIRF,Munich Airport,Rome Fiumicino,Munich,Rome,48.3538,11.7861,41.8003,12.2389,Unknown,medium,729.1727636842245,0
406a59,EXS73D,United Kingdom,1753810462,1753810463,9.0133,48.4615,11277.6,False,243.73,124.6,0.0,,11635.74,2713.0,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
06a13b,QTR24U,Qatar,1753810463,1753810463,10.7864,51.0514,10972.8,False,219.37,306.22,0.0,,11231.88,1000.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
48c230,RYR4FN,Poland,1753810462,1753810462,5.2717,45.4393,11277.6,False,213.64,260.86,0.33,,11704.32,5704.0,False,0,EGKK,EDDM,London Gatwick,Munich Airport,London,Munich,51.1481,-0.1903,48.3538,11.7861,Ryanair,high,1365.0846134556823,0
48c223,RYR7JV,Poland,1753810463,1753810463,7.737,51.6427,11277.6,False,240.53,46.47,-0.33,,11544.3,1000.0,False,0,EGKK,EDDF,London Gatwick,Frankfurt Airport,London,Frankfurt,51.1481,-0.1903,50.0379,8.5622,Ryanair,high,979.31193108891,0
